time,currents servo1,currents servo2
10.60429,-691.33,0
10.71655,-739.75,0
10.84432,-653.67,0
10.97232,-710.16,0
11.10062,-755.89,0
11.22841,-672.5,0
11.35622,-688.64,0
11.62849,-664.43,0
11.74073,-664.43,0
11.86847,-680.57,0
11.99629,-680.57,0
12.12586,-680.57,0
12.25216,-680.57,0
12.36435,-680.57,0
12.47616,-680.57,0
12.58816,-680.57,0
12.70018,-680.57,0
12.81225,-680.57,0
12.92441,-680.57,0
13.03613,-680.57,0
13.14819,-680.57,0
13.26035,-680.57,0
13.37238,-680.57,0
13.48422,-680.57,0
13.59605,-680.57,0
13.70824,-680.57,0
13.82003,-677.88,0
13.93231,-677.88,0
14.04416,-677.88,0
14.15623,-677.88,0
14.26811,-677.88,0
14.38043,-677.88,0
14.50815,-677.88,0
14.6362,-677.88,0
14.76406,-675.19,0
14.89288,-675.19,0
15.01999,-675.19,0
15.14799,-675.19,0
15.27629,-675.19,0
15.40406,-675.19,0
15.53197,-675.19,0
15.6601,-675.19,0
15.77186,-675.19,0
15.88399,-675.19,0
15.99593,-675.19,0
16.10799,-675.19,0
16.21988,-675.19,0
16.33203,-675.19,0
16.44408,-675.19,0
16.55602,-675.19,0
16.66825,-675.19,0
16.79619,-675.19,0
16.90791,-675.19,0
17.01992,-675.19,0
17.13195,-675.19,0
17.2441,-675.19,0
17.35604,-675.19,0
17.46788,-675.19,0
17.57995,-675.19,0
17.69195,-675.19,0
17.80386,-672.5,0
17.91607,-672.5,0
18.02783,-672.5,0
18.13975,-672.5,0
18.25183,-672.5,0
18.3798,-672.5,0
18.50798,-672.5,0
18.63578,-672.5,0
18.74842,-672.5,0
18.87596,-672.5,0
19.00369,-672.5,0
19.13183,-672.5,0
19.25984,-669.81,0
19.38783,-669.81,0
19.51571,-669.81,0
19.62772,-669.81,0
19.73984,-669.81,0
19.85188,-669.81,0
19.96372,-669.81,0
20.07581,-669.81,0
20.18803,-669.81,0
20.31585,-669.81,0
20.44387,-669.81,0
20.55565,-669.81,0
20.66766,-669.81,0
20.77962,-669.81,0
20.89156,-669.81,0
21.00364,-669.81,0
21.11565,-669.81,0
21.22783,-669.81,0
21.33953,-669.81,0
21.45181,-669.81,0
21.56354,-669.81,0
21.69156,-667.12,0
21.80354,-667.12,0
21.91552,-667.12,0
22.04355,-667.12,0
22.15572,-667.12,0
22.26794,-667.12,0
22.38008,-667.12,0
22.49198,-667.12,0
22.60359,-667.12,0
22.71563,-667.12,0
22.84381,-667.12,0
22.97185,-667.12,0
23.09968,-667.12,0
23.22784,-667.12,0
23.51589,-667.12,0
23.64381,-524.55,0
23.77193,-392.74,0
23.88379,-290.52,0
24.01624,-314.73,0
24.15571,-320.11,0
24.26781,-322.8,0
24.37989,-306.66,0
24.49157,-282.45,0
24.60386,-312.04,0
24.7156,-314.73,0
24.82751,-336.25,0
24.9394,-301.28,0
25.05145,-309.35,0
25.16355,-314.73,0
25.27543,-309.35,0
25.38742,-287.83,0
25.49944,-322.8,0
25.61146,-317.42,0
25.72385,-320.11,0
25.8356,-274.38,0
25.94781,-312.04,0
26.07536,-328.18,0
26.18748,-330.87,0
26.31539,-306.66,0
26.44348,-320.11,0
26.57165,-322.8,0
26.69967,-298.59,0
26.82736,-314.73,0
26.95564,-320.11,0
27.08361,-301.28,0
27.21162,-298.59,0
27.33943,-309.35,0
27.46759,-306.66,0
27.57946,-258.24,0
27.69147,-314.73,0
27.80357,-306.66,0
27.91523,-322.8,0
28.02728,-266.31,0
28.13958,-301.28,0
28.25143,-282.45,0
28.36328,-314.73,0
28.4751,-282.45,0
28.58733,-328.18,0
28.69939,-320.11,0
28.81135,-312.04,0
28.92319,-260.93,0
29.03519,-314.73,0
29.14744,-298.59,0
29.25934,-325.49,0
29.37112,-282.45,0
29.4831,-317.42,0
29.61158,-309.35,0
29.73951,-293.21,0
29.85107,-298.59,0
29.97963,-314.73,0
30.10729,-314.73,0
30.23547,-290.52,0
30.36313,-320.11,0
30.49112,-298.59,0
30.61905,-301.28,0
30.7471,-330.87,0
30.87501,-325.49,0
31.00314,-328.18,0
31.11501,-295.9,0
31.227,-312.04,0
31.3392,-293.21,0
31.45097,-301.28,0
31.56303,-303.97,0
31.67492,-322.8,0
31.78735,-306.66,0
31.89893,-309.35,0
32.01102,-287.83,0
32.12295,-320.11,0
32.235,-314.73,0
32.34727,-325.49,0
32.45905,-298.59,0
32.57086,-303.97,0
32.68277,-303.97,0
32.79514,-306.66,0
32.92307,-306.66,0
33.05083,-312.04,0
33.17916,-312.04,0
33.30726,-298.59,0
33.4349,-306.66,0
33.56278,-320.11,0
33.69079,-309.35,0
33.81923,-301.28,0
33.93107,-301.28,0
34.04313,-293.21,0
34.15506,-263.62,0
34.28308,-156.02,0
34.41099,-61.87,0
34.52285,0,0
34.63504,24.21,0
34.74696,24.21,0
34.85911,26.9,0
34.97089,26.9,0
35.08279,26.9,0
35.19487,29.59,0
35.30695,29.59,0
