time,currents servo1,currents servo2
11.75565,699.4,0
11.8673,699.4,0
11.9793,699.4,0
12.10795,699.4,0
12.2353,699.4,0
12.36321,699.4,0
12.47526,699.4,0
12.58717,699.4,0
12.69915,699.4,0
12.81132,699.4,0
12.923,699.4,0
13.05119,699.4,0
13.16306,699.4,0
13.27502,699.4,0
13.40302,699.4,0
13.51493,699.4,0
13.64292,699.4,0
13.75509,696.71,0
13.86709,696.71,0
13.97907,696.71,0
14.10694,696.71,0
14.21893,696.71,0
14.3309,696.71,0
14.4431,696.71,0
14.55526,696.71,0
14.66709,696.71,0
14.77899,694.02,0
14.89112,694.02,0
15.01899,694.02,0
15.13101,694.02,0
15.24285,694.02,0
15.35518,694.02,0
15.483,694.02,0
15.59496,694.02,0
15.72282,694.02,0
15.83488,694.02,0
15.94679,694.02,0
16.05881,694.02,0
16.17116,694.02,0
16.29896,694.02,0
16.41133,694.02,0
16.53943,691.33,0
16.66692,691.33,0
16.79494,691.33,0
16.92276,691.33,0
17.0509,691.33,0
17.16301,691.33,0
17.27496,691.33,0
17.40309,691.33,0
17.51525,691.33,0
17.62696,691.33,0
17.73901,691.33,0
17.85115,691.33,0
17.96284,691.33,0
18.07512,688.64,0
18.18712,688.64,0
18.31508,688.64,0
18.42688,688.64,0
18.53916,688.64,0
18.65106,688.64,0
18.77918,688.64,0
18.89089,688.64,0
19.00285,688.64,0
19.11468,688.64,0
19.22688,688.64,0
19.35476,688.64,0
19.46675,688.64,0
19.57898,688.64,0
19.69085,688.64,0
19.80262,688.64,0
19.91494,688.64,0
20.0266,688.64,0
20.13882,688.64,0
20.2667,688.64,0
20.39473,688.64,0
20.50687,688.64,0
20.63479,685.95,0
20.74677,685.95,0
20.85903,685.95,0
20.98683,685.95,0
21.09903,685.95,0
21.22675,685.95,0
21.33884,685.95,0
21.46697,685.95,0
21.57888,685.95,0
21.70668,685.95,0
21.81864,685.95,0
21.94683,685.95,0
22.05853,685.95,0
22.18661,685.95,0
22.31491,685.95,0
22.44273,685.95,0
22.55497,685.95,0
22.6826,685.95,0
22.79469,685.95,0
22.92247,685.95,0
23.0504,683.26,0
23.17862,683.26,0
23.30688,683.26,0
23.59458,683.26,0
23.70684,538,0
23.81903,406.19,0
23.93084,285.14,0
24.06179,244.79,0
24.18677,317.42,0
24.29887,306.66,0
24.41046,279.76,0
24.52237,301.28,0
24.63441,309.35,0
24.74673,306.66,0
24.85861,285.14,0
24.97057,317.42,0
25.0826,328.18,0
25.21038,293.21,0
25.33842,309.35,0
25.46667,322.8,0
25.59448,312.04,0
25.72292,312.04,0
25.8346,328.18,0
25.9463,306.66,0
26.05827,295.9,0
26.17035,298.59,0
26.28242,322.8,0
26.39428,269,0
26.50627,306.66,0
26.63487,320.11,0
26.76234,293.21,0
26.89038,312.04,0
27.01847,320.11,0
27.13038,322.8,0
27.24226,303.97,0
27.35455,298.59,0
27.48232,314.73,0
27.61026,285.14,0
27.72225,312.04,0
27.83464,322.8,0
27.96243,317.42,0
28.09022,317.42,0
28.2185,320.11,0
28.33016,322.8,0
28.44216,303.97,0
28.57027,295.9,0
28.69832,322.8,0
28.82621,290.52,0
28.93809,295.9,0
29.05032,317.42,0
29.16225,312.04,0
29.27409,293.21,0
29.38618,303.97,0
29.49825,320.11,0
29.61016,303.97,0
29.72207,309.35,0
29.8342,322.8,0
29.94633,328.18,0
30.05822,290.52,0
30.18625,301.28,0
30.29802,325.49,0
30.41003,301.28,0
30.52211,298.59,0
30.65032,320.11,0
30.76232,306.66,0
30.87416,298.59,0
30.9861,317.42,0
31.09799,336.25,0
31.20993,290.52,0
31.32223,312.04,0
31.43399,309.35,0
31.54603,322.8,0
31.67418,295.9,0
31.80195,309.35,0
31.93016,320.11,0
32.05787,301.28,0
32.17033,298.59,0
32.28192,314.73,0
32.39404,314.73,0
32.50593,285.14,0
32.63388,312.04,0
32.7461,204.44,0
32.85789,102.22,0
32.9698,24.21,0
33.0822,-16.14,0
33.19376,-8.07,0
33.3223,-10.76,0
33.44998,-10.76,0
33.56175,-10.76,0
33.67386,-10.76,0
33.78595,-10.76,0
33.89833,-16.14,0
34.00999,-13.45,0
34.12178,-13.45,0
34.23451,-13.45,0
34.34571,-13.45,0
34.47379,-13.45,0
34.60248,-13.45,0
34.7298,-16.14,0
34.85782,-13.45,0
34.97004,-13.45,0
35.08209,-13.45,0
35.19396,-16.14,0
35.30583,-13.45,0
